CAN;Alberta;Calgary;Central High School;HighSchool;;
CAN;Alberta;Calgary;Central Memorial High School;HighSchool;;
CAN;Alberta;Calgary;Chestermere Lake High School;HighSchool;;
CAN;Alberta;Calgary;Chinook Winds High School;HighSchool;;
CAN;Alberta;Calgary;Clarence Sansom Junior High School;HighSchool;;
CAN;Alberta;Calgary;Colonel Irvine Junior High School;HighSchool;;
CAN;Alberta;Calgary;Colonel Walker Junior High School;HighSchool;;
CAN;Alberta;Calgary;Connaught Junior High School;HighSchool;;
CAN;Alberta;Calgary;Crescent Heights High School;HighSchool;;
CAN;Alberta;Calgary;Cross High School;HighSchool;;
CAN;Alberta;Calgary;Cross Junior High School;HighSchool;;
CAN;Alberta;Calgary;Currie High School;HighSchool;;
CAN;Alberta;Calgary;Currie Junior High School;HighSchool;;
CAN;Alberta;Calgary;David D. Oughton Junior High School;HighSchool;;
CAN;Alberta;Calgary;David Thompson Junior High School;HighSchool;;
CAN;Alberta;Calgary;Diefenbaker High School;HighSchool;;
CAN;Alberta;Calgary;Don Bosco Junior High School;HighSchool;;
CAN;Alberta;Calgary;Dr. E.W. Coffin High School;HighSchool;;
CAN;Alberta;Calgary;Dr. G.M. Egbert High School;HighSchool;;
CAN;Alberta;Calgary;Dr. Gordon Higgins High School;HighSchool;;
CAN;Alberta;Calgary;Dr. Gordon Higgins Junior High School;HighSchool;;
CAN;Alberta;Calgary;Dr. J.K. Mulloy High School;HighSchool;;
CAN;Alberta;Calgary;Dr. Oakley High School;HighSchool;;
CAN;Alberta;Calgary;E. P. Scarlett High School;HighSchool;;
CAN;Alberta;Calgary;Egbert Junior High School;HighSchool;;
CAN;Alberta;Calgary;Elboya Junior High School;HighSchool;;
CAN;Alberta;Calgary;Ernest Manning High School;HighSchool;;
CAN;Alberta;Calgary;Ernest Morrow Junior High School;HighSchool;;
CAN;Alberta;Calgary;F.E. Osborne Junior High School;HighSchool;;1
CAN;Alberta;Calgary;Fairview Junior High School;HighSchool;;
CAN;Alberta;Calgary;Father Lacombe High School;HighSchool;;
CAN;Alberta;Calgary;Father Scollen Elementary & Junior High School;HighSchool;;
CAN;Alberta;Calgary;Forest Lawn High School;HighSchool;;
CAN;Alberta;Calgary;Forest Lawn Junior High School;HighSchool;;
CAN;Alberta;Calgary;G.W. Skene High School;HighSchool;;
CAN;Alberta;Calgary;Gale High School;HighSchool;;
CAN;Alberta;Calgary;George P. Vanier Junior High School;HighSchool;;
CAN;Alberta;Calgary;H. D. Cartwright Junior High School;HighSchool;;
CAN;Alberta;Calgary;Harold Panabaker Junior High School;HighSchool;;
CAN;Alberta;Calgary;Henry Wise Wood High School;HighSchool;;
CAN;Alberta;Calgary;Heritage Christian High School;HighSchool;;
CAN;Alberta;Calgary;Hillhurst High School;HighSchool;;
CAN;Alberta;Calgary;Hillhurst Junior High School;HighSchool;;
CAN;Alberta;Calgary;Holy Cross High School;HighSchool;;
CAN;Alberta;Calgary;Holy Cross Junior High School;HighSchool;;
CAN;Alberta;Calgary;Holy Trinity High School;HighSchool;;
CAN;Alberta;Calgary;Holy Trinity Junior High School;HighSchool;;
