CAN;Ontario;Toronto;Toronto University;;
CAN;Ontario;Toronto;Ryerson University;;
CAN;Ontario;North York;York University;;
CAN;Ontario;Hamilton;McMaster University;;
CAN;Ontario;London;The University of Western Ontario;;
CAN;Saskatchewan;Saskatoon;University of Saskatchewan;;
USA;California;Stanford;Stanford University;;
USA;Massachusetts;Cambridge;Harvard University;;
USA;Washington;Washington;Georgetown University;;
