USA;Arkansas;Conway;University of Central Arkansas;;http://www.uca.edu/
USA;Arkansas;Clarksville;University of the Ozarks ;;http://www.ozarks.edu/
USA;Arkansas;Walnut Ridge;;Williams Baptist College;http://www.wbcoll.edu/
USA;California;San Diego;Alliiant International University;;http://www.alliant.edu/
USA;California;Culver;Antioch University-Los Angeles ;;http://www.antiochla.edu/
USA;California;Pasadena;;Art Center Design College;http://www.artcenter.edu/
USA;California;Azusa;Azusa Pacific University ;;http://www.apu.edu/
USA;California;Scotts Valley;;Bethany College ;http://www.bethany.edu/
USA;California;Anaheim;Bethesda Christian University;;http://www.bcu.edu/
USA;California;La Mirada;Biola University;;http://www.biola.edu/
USA;California;Riverside;California Baptist University;;http://www.calbaptist.edu/
USA;California;San Francisco;;California College of the Arts;http://www.cca.edu/
USA;California;Valencia;;California Institute of the Arts ;http://www.calarts.edu/
USA;California;San Francisco;;California institute of Integral Studies ;http://www.ciis.edu/
USA;California;Pasadena;;California Institute of Technology;http://www.caltech.edu/
USA;California;Thousand Oaks;California Lutheran University;;http://www.callutheran.edu/
USA;California;Escondido;California Pacific University ;;http://www.cpu.edu/
USA;California;Long Beach;Callifornia State University Systems ;;http://www.calstate.edu/
USA;California;Bakersfield;;Bakersfiled ;http://www.csub.edu/
USA;California;Vallejo;;California Maritime Academy;http://www.csum.edu/
USA;California;San Luis Obispo;California Polytechnic University, San Lui Obispo ;;http://www.calpoly.edu/
USA;California;Pomona;California State Polytechnic University, Pomona;;http://www.csupomona.edu/
USA;California;Camarillo;;Channel Islands;http://www.csuci.edu/
USA;California;Chico;;Chico;http://www.csuchico.edu/
USA;California;Carson;;Dominguez Hills ;http://www.csudh.edu/
USA;California;Hayward;;East Bay ;http://www.csueastbay.edu/
USA;California;Fresno;;Frenso;http://www.csufresno.edu/
USA;California;Fullerton;;Fullerton;http://www.fullerton.edu/
USA;California;Long Beach;;Long Beach ;http://www.csulb.edu/
USA;California;;;Los Angeles ;http://www.calstatela.edu/
USA;California;;;Montgomery Bay;http://www.calstatela.edu/
USA;California;Northridge;;Northridge;http://www.csun.edu/
USA;California;Sacramento;;Sacramento;http://www.csus.edu/
USA;California;San Bernardino;;San Bernardio;http://www.csusb.edu/
USA;California;San Marcos;;San Marcos ;http://www.csusm.edu/
USA;California;;;Stanislaus;http://lead.csustan.edu/
USA;California;Arcata;Humboldt State University ;;http://www.humboldt.edu/
USA;California;San Diego;San Diego State University ;;http://www.sdsu.edu/
USA;California;San Francisco;San Francisco State University;;http://www.sfsu.edu/
USA;California;San Jose;San Jose State University;;http://www.sjsu.edu/
USA;California;Rohnert Park;Sonoma State University;;http://www.sonoma.edu/
USA;California;Orange;Chapman University ;;http://www.chapman.edu/
USA;California;Los Angeles;Charles R. Drew University of Medicine z& Science;;http://www.cdrewu.edu/
USA;California;Berkeley;;Church Divinity School of Pacific ;http://www.cdsp.edu/
USA;California;Clatemont;;Clatemont Consortiym of College ;http://www.claremont.edu/
USA;California;Claremont;Claremont Graduate University;;http://www.cgu.edu/
USA;California;Claremont;;Claremont Mc Kenna College;http://www.cgu.edu/
USA;California;Claremont;;Harvey Mudd College;http://www.hmc.edu/
USA;California;Claremont;;Keck Graduate Institute of Applied Life Sciences;http://www.kgi.edu/
USA;California;Claremont;;Pitzer College;http://www.pitzer.edu/
USA;California;Claremont;;Pomona College ;http://www.pomona.edu/
USA;California;Claremont;;Scripps College ;http://www.scrippscollege.edu/
USA;California;Sunnyvale;;Cogswell Polytechnical College;http://www.cogswell.edu/
USA;California;Irvine;Concordia University-Irvine ;;http://www.cui.edu/
USA;California;Long Beach;DeVry University-Long Beach;;http://www.lb.devry.edu/
USA;California;Pomona;DeVry University-Pomona ;;http://www.pom.devry.edu/
USA;California;Berkeley;;Dominican School of Philosophy & Theology;http://www.dspt.edu/
USA;California;San Rafael;Dominican University of California;;http://www.dominican.edu/
USA;California;Santa Barbara;;Fielding Graduate Institute ;http://www.fielding.edu/
USA;California;Berkeley;;Franciscan School of Theology;http://www.fst.edu/
USA;California;Fresno;Fresno Pacific University;;http://www.fresno.edu/
USA;California;Pasadena;;Fuller Theological Seminary;http://www.fuller.edu/
USA;California;San Francisco;Golden Gate University;;http://www.ggu.edu/
USA;California;Berkeley;;Graduate theological Union;http://www.gtu.edu/
USA;California;Oakland;Holy Names University;;http://www.hnu.edu/
USA;California;Fullerton;Hope International University;;http://www.hiu.edu/
USA;California;Stockton;;humphreys College;http://www.humphreys.edu/
USA;California;Palo Alto;;Institute of Transpersonal Psychology;http://www.itp.edu/
USA;California;Berkeley;;Jesuit School of Theology at Berkley;http://www.jstb.edu/
;California;Orinda;John F. Kennedy University ;;http://www.jfku.edu/
USA;California;Riverside;La Sierra University;;http://www.lasierra.edu/
USA;California;San Dimas;;Life Pacific College;http://www.lifepacific.edu/
USA;California;Oakland;Lincoln University;;http://www.lincolnuca.edu/
USA;California;Loma Linda;Loma Linda University ;;http://www.llu.edu/
USA;California;Los Angeles;Loyola Marymount University;;http://www.lmu.edu/
USA;California;Rancho Palos Verdes;;Marymount College;http://www.marymountpv.edu/
USA;California;Santa Clarita;;The Master's College;http://www.masters.edu/
USA;California;;;The Master's Seminary;http://www.tms.edu/
USA;California;Atherton;;Menlo College;http://www.menlo.edu/
USA;California;Oakland;;Mills College ;http://www.mills.edu/
USA;California;Monterey;;Monterey Institute of International Studies;http://www.miis.edu/
USA;California;Los Angeles;;Mount Saint Mary's College ;http://www.msmc.la.edu/
USA;California;San Jose;National Hispanic University;;http://www.nhu.edu/
USA;California;San Diego;National University;;http://www.nu.edu/
USA;California;Monterey;;Naval Postgraduate School ;http://www.nps.navy.mil/
USA;California;Belmont;Notre Dame de Namur University;;http://www.ndnu.edu/
USA;California;Los Angeles;;Occidental College;http://www.oxy.edu/
USA;California;Los Angeles;;Otis College of Art & Design;http://www.otis.edu/
USA;California;Pasadena;;Pacific Oaks College ;http://www.pacificoaks.edu/
USA;California;Angwin;;Pacific Union College ;http://www.puc.edu/
USA;California;Carpinteria;;Pacifica Graduate Institute ;http://pacifica.edu/
USA;California;Santa Monica;;Pardee RAND  Graduate School;http://www.prgs.edu/
USA;California;Oakland;;Patten College;http://www.patten.edu/
USA;California;Oakland;;Pepperdine University;http://www.pepperdine.edu/
USA;California;San Diego;;Platt College;http://www.platt.edu/
USA;California;San Diego;;Point Loma Nazarene University ;http://www.pointloma.edu/
USA;California;Moraga;;Saint  Mary's College of California;http://www.stmarys-ca.edu/
USA;California;Oakland;;Samuel Merrit College ;http://www.samuelmerritt.edu/
USA;California;El Cajon;;San Diego Christian College ;http://www.sdcc.edu/
USA;California;Santa Clara;Santa Clara University ;;http://www.scu.edu/
USA;California;San Francisco;;Saybrook Graduete School & Research Center ;http://www.saybrook.edu/
USA;California;Redding;Simpson University ;;http://www.simpsonuniversity.edu/
USA;California;Aliso Viejo;Soka University of America ;;http://www.soka.edu/
USA;California;Los Angeles;;Southern California Institute of Architecture;http://www.sciarc.edu/
USA;California;Los Angeles;Southwestern University School of Law ;;http://www.swlaw.edu/
USA;California;Stanford;Stanford University;;http://www.stanford.edu/
USA;California;Santa Paula;;Thomas Aquinas College ;http://www.thomasaquinas.edu/
USA;California;Oakland;University of California System ;;http://www.ucop.edu/
USA;California;Oakland;University of California Berkeley ;;http://www.berkeley.edu/
USA;California;Davis;University of California Davis ;;http://www.ucdavis.edu/
USA;California;San Francisco;University of California Hastings College of the Law ;;http://www.uchastings.edu/
USA;California;Irvine;University of California Irvine;;http://www.uci.edu/
USA;California;Los Angeles;University of California Los Angeles ;;http://www.ucla.edu/
USA;California;Merced;University of California Merced ;;http://www.ucmerced.edu/
USA;California;Riverside;University of California Riverside;;http://www.ucr.edu/
USA;California;La Jolla;University of California San Diego;;http://www.ucsd.edu/
USA;California;San Francisco;University of California San Francisco;;http://www.ucsf.edu/
USA;California;Santa Barbara;University of California Santa Barbara;;http://www.ucsb.edu/
USA;California;Santa Cruz;University of California Santa Cruz;;http://www.ucsc.edu/
USA;California;Los Angeles;American Jewish University ;;http://www.ajula.edu/
USA;California;La Verne;University of La Verne ;;http://www.ulv.edu/
USA;California;Santa Rosa;University of Nothern California;;http://www.uncm.edu/
USA;California;Stockton;University of the Pacific;;http://www.pacific.edu/
USA;California;Redlands;University of Redlands;;http://www.redlands.edu/
USA;California;San Diego;University of San Diego;;http://www.sandiego.edu/
USA;California;San Francisco;University of San Francisco;;http://www.usfca.edu/
USA;California;Costa Mesa;University of Southern California ;;http://www.usc.edu/
USA;California;Costa Mesa;Vanguard University of Southern California ;;http://www.vanguard.edu/
USA;California;Fullerton;Western State University College of Law ;;http://www.wsulaw.edu/
USA;California;Pomona;Western University of Health Sciences;;http://www.westernu.edu/
USA;California;Escondido;;Westminster Seminary California ;http://www.wscal.edu/
USA;California;Montecito;;Westmont College;http://www.westmont.edu/
USA;California;Whittier;;Whittier College;http://www.whittier.edu/
USA;California;Santa Ana;William Howard Taft University;;http://www.taftu.edu/
USA;California;Rocklin;William Jessup University ;;http://www.jessup.edu/
USA;California;Burbank;Woodbury University ;;http://www.woodbury.edu/
USA;Colorado;Alamosa;;Adams State College ;http://www.adams.edu/
USA;Colorado;Denver;;Art Institute of Colorado;http://www.artinstitutes.edu/denver/
USA;Colorado;Greenwood Vlg;;College for Financial Planning ;http://www.cffp.edu/
USA;Colorado;Lakewood;Colorado Christian University ;;http://www.ccu.edu/
USA;Colorado;Colorado Springs;;Colorado College ;http://www.coloradocollege.edu/
USA;Colorado;Golden;;Colorado School of Mines;http://www.mines.edu/
USA;Colorado;Fort Collins;Colorado State University ;;http://www.colostate.edu/
USA;Colorado;Pueblo;Colorado State University - Pueblo;;http://www.colostate-pueblo.edu/
USA;Colorado;Colorado Springs;Colorado Technical University;;http://www.coloradotech.edu/
USA;Colorado;Littleton;;Denver Seminary;http://www.denverseminary.edu/
USA;Colorado;Durango;;Fort Lewis College;http://www.fortlewis.edu/
USA;Colorado;Denver;;Iliff School of Theology;http://www.iliff.edu/
USA;Colorado;Centennial;Jones Intenational University ;;http://www.jonesinternational.edu/
USA;Colorado;Grand Junction;;Mesa State College;http://www.mesastate.edu/
USA;Colorado;Denver;;Metropolitan State College of Denver;http://www.mscd.edu/
USA;Colorado;Boulder;Naropa University;;http://www.naropa.edu/
USA;Colorado;Denver;;National Theatre Conservatory;http://www.denvercenter.org/page.cfm?xid=23842027/
USA;Colorado;Colorado Springs;;Nazarene Bible College ;http://www.nbc.edu/
USA;Colorado;Denver;Regis University ;;http://www.regis.edu/
USA;Colorado;Lakewood;;Rocky Mountain College of Art & Design ;http://www.rmcad.edu/
USA;Colorado;;;United States Air Force Academy;http://www.usafa.edu/
USA;Colorado;Denver;University of Colorado System;;http://www.cu.edu/
USA;Colorado;Boulder;University of Colorado at Boulder ;;http://www.colorado.edu/
USA;Colorado;Colorado Springs;University of Colorado at Colorado Springs ;;http://www.uccs.edu/
USA;Colorado;Denver;University of Colorado at Denver;;http://www.cudenver.edu/
USA;Colorado;Denver;University of Colorado Denver Health Sciences Center;;http://www.uchsc.edu/
USA;Colorado;Denver;University of Denver;;http://www.du.edu/
USA;Colorado;Greeley;University of Nothern Colorado;;http://www.unco.edu/
USA;Colorado;Colorado Springs;University of the Rockies ;;http://www.rockies.edu/
USA;Colorado;Gunnison;;Western State College of Colorado;http://www.western.edu/
USA;Connecticut;New Haven;;Albertus Magnus College;
USA;Connecticut;New Britain;Central Connecticut State University;;
USA;Connecticut;Waterbury;;Charter Oak State College ;
USA;Connecticut;New London;;Connecticut College;
USA;Connecticut;;Eastern Connecticut State University ;;
USA;Connecticut;Fairfield;Fairfield University ;;
USA;Connecticut;Hartford;;Hartford Seminary ;
USA;Connecticut;Cromwell;;Holy Apostles College & Seminary ;
USA;Connecticut;Hamburg;;Lyme Academy College of Fine Arts ;
USA;Connecticut;New London;;Mitchell College;
USA;Connecticut;Waterbury;Post University ;;
USA;Connecticut;Hamden;Quinnipiac University;;
USA;Connecticut;Fairfield;Sacred Heart University ;;
USA;Connecticut;West Hartford;;Saint Joseph College;
USA;Connecticut;NewHaven;Suothern Connecticut State University;;
USA;Connecticut;Hartford;;Trinity College;
USA;Connecticut;New London;;United States Coast Guard Academy;
USA;Connecticut;Bridgeport;University of Bridgeport ;;
USA;Connecticut;Storrs;University of Connecticut ;;
USA;Connecticut;West Hartford;University of Hartford;;
USA;Connecticut;West Haven;University of New Haven;;
USA;Connecticut;Middletown;Wesleyan University;;
USA;Connecticut;Danbury;Western Connecticut State University ;;
USA;Connecticut;New Haven;Yale University;;
USA;Delaware;Dover;Delaware State University;;
USA;Delaware;Wilmington;;Goldey-Beacom College;
USA;Delaware;Newark;University of Delaware ;;
USA;Delaware;Dover;;Wesley College;
USA;Delaware;New Castle;Wilmington University;;
USA;District of Columbia ;Washington;American University ;;
USA;District of Columbia ;Washington;The Catholic University of America ;;
USA;District of Columbia ;Washington;;Corcoran College of Art & Design ;
USA;District of Columbia ;Washington;;Dominican House of Studies;
USA;District of Columbia ;Washington;Gallaudet University;;
USA;District of Columbia ;Washington;George Washington University ;;
USA;District of Columbia ;Washington;Georgetown University;;
USA;District of Columbia ;Washington;Howard University;;
USA;District of Columbia ;Washington;;Institute of World Politics;
USA;District of Columbia ;Washington;;Joint Military Intelligence College;
USA;District of Columbia ;Washington;National Defense University ;;
USA;District of Columbia ;Washington;Southeastern University ;;
USA;District of Columbia ;Washington;Strayer University ;;
USA;District of Columbia ;Washington;Trinity University ;;
USA;District of Columbia ;Washington;University of the District of Columbia ;;
USA;District of Columbia ;Washington;;Washington Theological Union;
USA;District of Columbia ;Washington;;Wesley theological Seminary ;
USA;Florida;Graceville;;The Baptist College of Florida;
USA;Florida;Miami;Barry University ;;
USA;Florida;Leesburg;;Beacon College;
USA;Florida;Daytona Beach;;Bethune-Cookman College;
USA;Florida;Doral;Carlos Albizu University-Miami;;
USA;Florida;Marianna;;Chipola College;
USA;Florida;Clearwater;;Clearwater Christian College;
USA;Florida;Daytona Beach;;Daytona State College;
USA;Florida;Orlando;Devry University-Orlando;;
USA;Florida;St Petersburg;;Eckerd College;
USA;Florida;Fort Myers;;Edison State College;
USA;Florida;Jacksonville;;Edward Waters College ;
USA;Florida;Daytona Beach;Embry-Riddle Aeronautical University;;
USA;Florida;St Augustine;;Flagler College;
USA;Florida;Tampa;Florida Agricultual & Mechanical University ;;
USA;Florida;Boca Raton;Florida Atlantic University ;;
USA;Florida;Kissimmee;;Florida Christian College;
USA;Florida;Temple Terrace;;Florida College;
USA;Florida;Punta Gorda;Florida Gulf Coast University ;;
USA;Florida;Orlando;;Florida Hospital College of Health Sciences;
USA;Florida;Melbourne;;Florida Institute of Technology ;
USA;Florida;Miami;Florida International University ;;
USA;Florida;Miami;Florida Memorial University ;;
USA;Florida;;Florida Metropolitan University ;;
USA;Florida;Orlando;;Florida Southern College;
USA;Florida;Tallahassee;Florida State University ;;
USA;Florida;Panama;Florida State University Panama City Campus ;;
USA;Florida;Hobe Sound;;Hobe Sound Bible College ;
USA;Florida;Naples;Hodges University ;;
USA;Florida;Jacksonville;Jacksonville University ;;
USA;Florida;Miami;;Jones College;
USA;Florida;Daytona Beach;Keiser University ;;
USA;Florida;Boca Raton;Lynn University ;;
USA;Florida;Miami;Miami International University of Art & Design ;;
USA;Florida;Sarasota;;New College of Florida;
USA;Florida;West Palm Beach;Northwood University ;;
USA;Florida;Davie;Nova Southeastern University ;;
USA;Florida;West Palm Beach;Palm Beach Atlantic University ;;
USA;Florida;Sarasota;;Ringling School of Art & Design ;
USA;Florida;Winter Park;;Rollins College ;
USA;Florida;Miami;;Sain John Vianney College Seminary ;
USA;Florida;St Leo;;Saint Leo College ;
USA;Florida;Seminole;;Saint Petersburg College ;
USA;Florida;Opa Locka;Saint Thomas University ;;
USA;Florida;Boynton Beach;;Saint Vincent de Paul Regional Seminary ;
USA;Florida;Deerfield Beach;;South Florida Bible College & Theological Seminary ;
USA;Florida;Lakeland;Southeastern University ;;
USA;Florida;Deland;Stetson University ;;
USA;Florida;Trinity;;Trinity College of Florida;
USA;Florida;Hurlburt Field;Troy State University-Florida Region ;;
USA;Florida;Orlando;University of Central Florida ;;
USA;Florida;Gainesville;University of Florida ;;
USA;Florida;Coral Gables;niversity of Maimi;;
USA;Florida;Jacksonville;University of North Florida ;;
USA;Florida;Tampa;University of South Florida ;;
USA;Florida;Petersburg;University of South Florida-Saint Petersburg;;
USA;Florida;Tampa;University of Tampa ;;
USA;Florida;Pensacola;University of West florida ;;
USA;Florida;Lake Wales;;Warner Southern College;
USA;Florida;Babson Park;Webber International University ;;
USA;Hawaii;Laie;Brigham Young University -Hawaii;;
USA;Hawaii;Honolulu;Chaminade University ;;
USA;Hawaii;Honolulu;Hawaii Pacific University ;;
USA;Hawaii;Honolulu;University of Hawaii System;;
USA;Hawaii;Hilo;University of Hawaii Hilo ;;
USA;Hawaii;Honolulu;University of Hawaii Manoa ;;
USA;Hawaii;Pearl ;University of Hawaii West Oahu ;;
USA;Idaho;Boise;Boise State University ;;
USA;Idaho;Rexburg;Brigham Young University -Idaho;;
USA;Idaho;Caldwell;;The College of Idaho;
USA;Idaho;Pocatello;Idaho State University ;;
USA;Idaho;Lewiston;;Lewis-Clark State College ;
USA;Idaho;Nampa;Northwest Nazarene University ;;
USA;Idaho;Moscow;University of Idaho ;;
USA;Illinois;Chicago;;Adler School of Professional Physhology ;
USA;Illinois;Chicago;;American College of Education ;
USA;Illinois;Schaumburg;Argosy University ;;
USA;Illinois;Rock Island;;Augustana College;
USA;Illinois;Aurora;Aurora University ;;
USA;Illinois;Lisle;Benedictine University ;;
USA;Illinois;Carlinville;;Blackburn College ;
USA;Illinois;Quincy;;Blessing-Reiman College of Nursing ;
USA;Illinois;Peoria;Bradley University ;;
USA;Illinois;Chicago;;Catholic Theological Union ;
USA;Illinois;Chicago;;The Chicago Schoolof Professional Phychology ;
USA;Illinois;Chicago;Chicago State University ;;
USA;Illinois;Chicago;;Chicago Theological Seminary;
USA;Illinois;Chicago;;Columbia College Chicago ;
USA;Illinois;River Forest;Concordia University-Chicago;;
USA;Illinois;Chicago;Depaul University ;;
USA;Illinois;Chicago;DeVry University ;;
USA;Illinois;;DeVry University-Chicago ;;
USA;Illinois;Addison;DeVry University-DuPage ;;
USA;Illinois;River Forest;Dominican University ;;
USA;Illinois;Chicago;East-West University ;;
USA;Illinois;Charleston;Eastern Illinois University ;;
USA;Illinois;Chicago;Ellis University ;;
USA;Illinois;Elmhurst;;Elmhurst Colleg;
USA;Illinois;Chicago;;Erikson Institute;
USA;Illinois;Eureka;;Eureka College;
USA;Illinois;Evanston;;Garret-Evangelical Theological Seminary ;
USA;Illinois;University Park;Governors State University ;;
USA;Illinois;Greenville;;Greenville College ;
USA;Illinois;Skokie;;Hebrew Theological College ;
USA;Illinois;Jacksonville;;Illinois College;
USA;Illinois;Chicago;;Illinois College of Optometry;
USA;Illinois;Chicago;;Illinois Institute of Art-Chicago;
USA;Illinois;Schaumburg;;Illinois Institute of Art-Schaumburg ;
USA;Illinois;Chicago;;Illimois Institute of Technology ;
USA;Illinois;Normal;;Illinois State University ;
USA;Illinois;Bloomington;Illinois Wesleyan University ;;
USA;Illinois;Chicago;;Institute for Clinical Social Work ;
USA;Illinois;Chicago;;John Marshall Law School;
USA;Illinois;Elgin;Judson University ;;
USA;Illinois;Evanston;;Kendall College;
USA;Illinois;Skokie;;Knowledge System Institute ;
USA;Illinois;Galesburg;;Knox College;
USA;Illinois;Lincolnshire Woods;;Lake Forest College ;
USA;Illinois;Lake Forest;;Lake Forest Graduate School of Management ;
USA;Illinois;Danville;;Lakeview Ocllege of Nursing ;
USA;Illinois;Romeoville;Lewis University ;;
USA;Illinois;Chicago;;Lexington College ;
USA;Illinois;Lincoln;;lincoln Christian Collge & Seminary;
USA;Illinois;Lincoln;;Lincoln College;
USA;Illinois;Chicago;Loyola University Chicago;;
USA;Illinois;Chicago;;Lutheran School of Theology at Chicago ;
USA;Illinois;Jacksonville;;MacMurray Collge ;
USA;Illinois;Chicago;;McCormick Theological Seminary;
USA;Illinois;Lebanon;McKendree University ;;
USA;Illinois;Peoria;;Midstate College ;
USA;Illinois;Downers Grove;Midwestern University ;;
USA;Illinois;Decatur;Millikin University ;;
