Country;State/Province;City;University;College;Web Site;;
USA;Alaska;Glennallen;;Alaska Bible College;http://www.akbible.edu/;;
USA;Alaska;Anchorage;Alaska Pacific University;;http://www.alaskapacific.edu/;;
USA;Alaska;Anchorage;University of Alaska System (Anchorage);;http://www.uaa.alaska.edu/;;
USA;Alaska;Fairbanks;University of Alaska System (Fairbanks);;http://www.uaf.edu/;;
USA;Alaska;Juneau;University of Alaska System (Southeast);;http://www.uas.alaska.edu/;;
USA;Arizona;Mesa;A.T. Still University of Health Sciences;;http://www.atsu.edu/;;
USA;Arizona;Phoenix;;American Indian College of Assemblies of God;http://www.aicag.edu/;;
USA;Arizona;Tempe;Arizona State University ;;http://www.asu.edu/;;
USA;Arizona;Mesa;Arizona State University Polytehnic Campus  ;;http://www.poly.asu.edu/;;
USA;Arizona;Phoenix;Arizona State university at the West Campus ;;http://www.west.asu.edu/;;
USA;Arizona;Tucson;;Art Center Design College;http://www.theartcenter.edu/;;
USA;Arizona;Phoenix;DeVry University-Phoenix ;;http://www.phx.devry.edu/;;
USA;Arizona;Prescott;Embry-Riddle Aeronautical University;;http://www.erau.edu/;;
USA;Arizona;Phoenix;Grand Canyon University ;;http://www.gcu.edu/;;
USA;Arizona;Prescott Valley;Northcentral University;;http://www.ncu.edu/;;
USA;Arizona;Flagstaff;Northern Arizona University;;http://www.nau.edu/;;
USA;Arizona;Prescott;;Prescott College;http://www.prescott.edu/;;
USA;Arizona;Phoenix;;Southwestern College;http://www.swcaz.edu/;;
USA;Arizona;Phoenix;;Thunderbird School of Global Management;http://www.thunderbird.edu/;;
USA;Arizona;Tucson;University of Arizona;;http://www.arizona.edu/;;
USA;Arizona;Phoenix;University of Phoenix;;http://www.phoenix.edu/;;
USA;Arizona;Phoenix;Western International University;;http://www.wintu.edu/;;
USA;Arkansas;Little Rock;;Arkansas Baptist College;http://www.arkansasbaptist.edu/;;
USA;Arkansas;Jonesboro;Arkansas State University;;http://www.astate.edu/;;
USA;Arkansas;Russellville;Arkansas Tech University;;http://www.atu.edu/;;
USA;Arkansas;Conway;;Central Baptist College;http://www.cbc.edu/;;
USA;Arkansas;Searcy;Harding University;;http://www.harding.edu/;;
USA;Arkansas;Conway;Henderson State University;;http://www.hsu.edu/;;
USA;Arkansas;Arkadelphia;;Hendrix College;http://www.hendrix.edu/;;
USA;Arkansas;Siloam Springs;John Brown University;;http://www.jbu.edu/;;
USA;Arkansas;Batesville;;Lyon College;http://www.lyon.edu/;;
USA;Arkansas;Arkadelphia;Ouachita Baptist University;;http://www.obu.edu/;;
USA;Arkansas;Little Rock;;Philander Smith College ;http://www.philander.edu/;;
USA;Arkansas;Magnolia;Southern Aekansas University;;http://www.saumag.edu/;;
USA;Arkansas;Little Rock;University of Arkansas System;;http://www.uasys.edu/;;
USA;Arkansas;Fayetteville;University of Arkansas System (Fayetteville);;http://www.uark.edu/;;
USA;Arkansas;Fort Smith;University of Arkansas System (Fort Smith);;http://www.uafortsmith.edu/;;
USA;Arkansas;Little Rock;University of Arkansas System (Little Rock);;http://www.ualr.edu/;;
USA;Arkansas;Little Rock;University of Arkansas System (Medical Sciences);;http://www.uams.edu/;;
USA;Arkansas;Monticello;University of Arkansas System (Monticello);;http://www.uamont.edu/;;
USA;Arkansas;Pine Bluff;University of Arkansas System (Pine Bluff);;http://www.uapb.edu/;;
USA;Arkansas;Conway;University of Central Arkansas;;http://www.uca.edu/;;
USA;Arkansas;Clarksville;University of the Ozarks ;;http://www.ozarks.edu/;;
USA;Arkansas;Walnut Ridge;;Williams Baptist College;http://www.wbcoll.edu/;;
USA;California;San Diego;Alliiant International University;;http://www.alliant.edu/;;
USA;California;Culver;Antioch University-Los Angeles ;;http://www.antiochla.edu/;;
USA;California;Pasadena;;Art Center Design College;http://www.artcenter.edu/;;
USA;California;Azusa;Azusa Pacific University ;;http://www.apu.edu/;;
USA;California;Scotts Valley;;Bethany College ;http://www.bethany.edu/;;
USA;California;Anaheim;Bethesda Christian University;;http://www.bcu.edu/;;
USA;California;La Mirada;Biola University;;http://www.biola.edu/;;
USA;California;Riverside;California Baptist University;;http://www.calbaptist.edu/;;
USA;California;San Francisco;;California College of the Arts;http://www.cca.edu/;;
USA;California;Valencia;;California Institute of the Arts ;http://www.calarts.edu/;;
USA;California;San Francisco;;California institute of Integral Studies ;http://www.ciis.edu/;;
USA;California;Pasadena;;California Institute of Technology;http://www.caltech.edu/;;
USA;California;Thousand Oaks;California Lutheran University;;http://www.callutheran.edu/;;
USA;California;Escondido;California Pacific University ;;http://www.cpu.edu/;;
USA;California;Long Beach;Callifornia State University Systems ;;http://www.calstate.edu/;;
USA;California;Bakersfield;;Bakersfiled ;http://www.csub.edu/;;
USA;California;Vallejo;;California Maritime Academy;http://www.csum.edu/;;
USA;California;San Luis Obispo;California Polytechnic University, San Lui Obispo ;;http://www.calpoly.edu/;;
USA;California;Pomona;California State Polytechnic University, Pomona;;http://www.csupomona.edu/;;
USA;California;Camarillo;;Channel Islands;http://www.csuci.edu/;;
USA;California;Chico;;Chico;http://www.csuchico.edu/;;
USA;California;Carson;;Dominguez Hills ;http://www.csudh.edu/;;
USA;California;Hayward;;East Bay ;http://www.csueastbay.edu/;;
USA;California;Fresno;;Frenso;http://www.csufresno.edu/;;
USA;California;Fullerton;;Fullerton;http://www.fullerton.edu/;;
USA;California;Long Beach;;Long Beach ;http://www.csulb.edu/;;
USA;California;;;Los Angeles ;http://www.calstatela.edu/;;
USA;California;;;Montgomery Bay;http://www.calstatela.edu/;;
USA;California;Northridge;;Northridge;http://www.csun.edu/;;
USA;California;Sacramento;;Sacramento;http://www.csus.edu/;;
USA;California;San Bernardino;;San Bernardio;http://www.csusb.edu/;;
USA;California;San Marcos;;San Marcos ;http://www.csusm.edu/;;
USA;California;;;Stanislaus;http://lead.csustan.edu/;;
